,Tenure,MonthlyCharge,Bandwidth_GB_Year,Responses,Fixes,Replacements,Reliability,Options,Respectful,Courteous,Listening
0,6.795512947000001,171.44976210000004,904.5361102,5,5,5,3,4,4,3,4
1,1.156680997,242.9480155,800.9827661,3,4,3,3,4,3,4,4
2,15.75414408,159.44039840000005,2054.706961,4,4,2,4,4,3,3,3
3,17.08722662,120.2494934,2164.579412,4,4,4,2,5,4,3,3
4,1.670971726,150.7612159,271.4934362,4,4,4,3,4,4,4,5
5,7.000993555,184.4015581,1039.357983,3,3,3,2,4,3,3,3
6,13.23677381,200.0648859,1907.242972,6,5,6,4,1,5,5,5
7,36.19603,114.7541111,979.6127078,2,2,2,5,2,3,4,5
8,8.220686373,118.3668439,1312.874964,5,4,4,3,4,3,4,4
9,3.422086139,163.0052796,508.7637913,2,2,2,2,5,2,3,3
10,19.26726194,177.451599,2728.767869,4,4,4,7,3,3,3,4
11,36.19603,148.36408740000005,1180.588788,4,4,3,4,4,4,3,4
12,13.01149229,136.4312394,1196.388018,1,2,1,4,3,2,3,3
13,16.87922024,185.6592942,1948.694497,5,6,5,2,4,5,4,4
14,10.06019902,160.8055418,3382.4240000000004,3,3,4,2,3,4,4,2
15,13.87001293,176.3345094,1840.014467,3,3,3,2,4,3,5,2
16,15.78214958,195.8726039,2070.376729,3,4,4,3,5,4,4,3
17,36.19603,203.06959730000003,882.0985933000002,2,2,4,3,3,4,3,3
18,17.10995632,154.0171018,1833.0967,3,4,3,4,3,2,3,5
19,12.80615845,150.1107392,1954.080809,5,5,5,4,4,4,3,3
20,20.45390977,185.096264,2330.319383,2,3,3,2,4,2,3,3
21,2.415991977,127.0317766,594.1054279,5,5,4,4,3,4,3,5
22,6.652298992,125.5623018,713.0633088,3,3,3,2,2,3,5,5
23,8.543717478,150.3295122,945.3802928,4,4,3,5,3,4,4,3
24,5.7703902560000015,163.31240549999995,870.7639800000002,3,3,4,2,4,4,3,4
25,4.157658837,94.06699355,774.2937069,4,4,4,4,2,4,5,5
26,10.40566091,222.9597637,1506.446527,5,3,5,3,3,5,4,4
27,1.3924215969999998,141.092117,419.0508708,2,2,3,4,4,2,2,2
28,36.19603,230.6237646,1259.415493,3,4,3,3,2,4,4,2
29,5.425864884,259.3879183,1745.125956,4,4,4,3,2,5,5,4
